ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-11,2,08-02-2016 15:43,08-02-2016 21:43,39.19288,-84.47723,39.19615,-84.47335,0.307,At OH-4/Paddock Rd/Exit 9 - Accident.,,I-75 N,R,Cincinnati,Hamilton,OH,45216,US,US/Eastern,KLUK,08-02-2016 15:47,33.8,29.6,100,29.66,3,NNW,4.6,0.03,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-12,2,08-02-2016 16:50,08-02-2016 22:50,39.13877,-84.53394,39.13977,-84.5343,0.072,At US-52/Hopple St/Exit 3 - Accident.,,Hopple St,R,Cincinnati,Hamilton,OH,45225,US,US/Eastern,KLUK,08-02-2016 16:53,35.1,32.2,96,29.69,10,South,3.5,,Overcast,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-13,2,08-02-2016 17:27,08-02-2016 23:27,41.4739,-81.704233,41.47388,-81.70559,0.07,At US-42/Exit 170 - Accident.,,I-90 E,R,Cleveland,Cuyahoga,OH,44113,US,US/Eastern,KBKL,08-02-2016 17:36,33.1,24.4,96,29.59,1.8,West,11.5,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-14,2,08-02-2016 17:30,08-02-2016 23:30,39.582242,-83.677814,39.603013,-83.637319,2.59,Between OH-72/Exit 58 and US-35/Exit 65 - Accident.,,I-71 N,R,Jamestown,Greene,OH,45335,US,US/Eastern,KSGH,08-02-2016 17:28,33.8,28.6,93,29.64,1,West,5.8,0.01,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-15,3,08-02-2016 18:11,09-02-2016 00:11,40.151785,-81.312635,40.151747,-81.312682,0.004,At Shipley Rd - Accident.,48999, Titus Rd,R,Freeport,Guernsey,OH,43973,US,US/Eastern,KPHD,08-02-2016 18:23,33.1,,92,29.62,10,Calm,,,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
A-17,3,08-02-2016 19:47,09-02-2016 01:47,39.97241,-82.84695,39.98529,-82.85667,1.028,At OH-16/Broad St/Exit 39 - Accident.,,Outerbelt N,R,Columbus,Franklin,OH,43213,US,US/Eastern,KCMH,08-02-2016 19:51,34,,100,29.65,6,Calm,,0.07,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-18,2,08-02-2016 19:47,09-02-2016 01:47,39.9838,-82.85657,39.9725,-82.84746,0.918,At I-270 - Accident.,,Outerbelt S,R,Columbus,Franklin,OH,43213,US,US/Eastern,KCMH,08-02-2016 19:51,34,,100,29.65,6,Calm,,0.07,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-19,3,08-02-2016 20:13,09-02-2016 02:13,40.02664,-82.9944,40.01228,-82.99218,0.999,Between Weber Rd/Exit 113 and Hudson St/Exit 112 - Accident.,,North Fwy S,R,Columbus,Franklin,OH,43224,US,US/Eastern,KCMH,08-02-2016 20:12,33.8,27,100,29.63,1,West,8.1,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-20,4,08-02-2016 21:00,09-02-2016 03:00,41.679361,-83.573037,41.666124,-83.566335,0.978,Closed between I-475/Exit 204 and US-24/Detroit Ave/Exit 203 - Road closed due to accident.,,I-75 S,R,Toledo,Lucas,OH,43610,US,US/Eastern,KDUH,08-02-2016 20:55,33.4,26.6,79,29.62,10,West,8.1,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-21,2,08-02-2016 21:10,09-02-2016 03:10,40.99613,-85.26613,40.98982,-85.26986,0.477,At Fort Wayne - Accident.,,US-33 S,R,Roanoke,Allen,IN,46783,US,US/Eastern,KFWA,08-02-2016 20:54,28,16.1,88,29.71,8,West,16.1,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-22,3,08-02-2016 21:30,09-02-2016 03:30,39.0381,-84.59243,39.03475,-84.60007,0.471,At I-275/Exit 185 - Accident.,,I-75 S,R,Ft Mitchell,Kenton,KY,41017,US,US/Eastern,KCVG,08-02-2016 21:15,26.6,15.2,80,29.73,3,West,13.8,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-23,2,09-02-2016 05:54,09-02-2016 11:54,40.03386,-82.99601,40.02246,-82.99515,0.789,Between Broadway/Exit 114 and Weber Rd/Exit 113 - Accident.,,North Fwy N,R,Columbus,Franklin,OH,43224,US,US/Eastern,KCMH,09-02-2016 05:51,25,15.5,88,29.65,1,SW,9.2,0.02,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-24,2,09-02-2016 06:10,09-02-2016 12:10,39.85798,-84.28181,39.86441,-84.21554,3.543,Between OH-48/Exit 29 and Dayton Intl Airport Rd/Exit 32 - Accident.,,I-70 E,R,Dayton,Montgomery,OH,45415,US,US/Eastern,KDAY,09-02-2016 06:03,23,10.1,88,29.66,2,West,15,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Day
A-25,2,09-02-2016 06:46,09-02-2016 12:46,39.15267,-84.5395,39.14745,-84.53923,0.361,At I-74/US-52/US-27/Exit 4 - Accident.,,I-75 S,R,Cincinnati,Hamilton,OH,45223,US,US/Eastern,KLUK,09-02-2016 06:53,21,9.3,88,29.78,1.5,WSW,11.5,0.01,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Day,Day
A-26,2,09-02-2016 07:18,09-02-2016 13:18,39.30732,-85.95982,39.30457,-85.96284,0.249,At US-31/Exit 76 - Accident.,,I-65 S,R,Edinburgh,Bartholomew,IN,46124,US,US/Eastern,K1II,09-02-2016 06:50,19,9,100,29.05,2,W,9,,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
A-27,4,09-02-2016 07:28,09-02-2016 13:28,39.77572,-84.04815,39.76485,-84.09274,2.484,Closed between OH-844/Fairfield Rd/Exit 17 and Colonel Glenn Hwy/Exit 15 - Road closed due to accident.,,I-675 S,R,Fairborn,Greene,OH,45324,US,US/Eastern,KFFO,09-02-2016 07:08,23,12.4,86,29.68,1.5,SW,10.4,,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
A-28,2,09-02-2016 07:25,09-02-2016 13:25,39.97643,-83.12306,39.97609,-83.11068,0.656,At I-270/Exit 93 - Accident.,,I-70 E,R,Columbus,Franklin,OH,43228,US,US/Eastern,KTZR,09-02-2016 07:20,21.2,8.3,93,29.66,1.5,WSW,13.8,,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
A-29,3,09-02-2016 07:44,09-02-2016 13:44,39.58595,-85.82518,39.58444,-85.82301,0.156,At Fairland Rd/400/Exit 109 - Accident.,,US-421 S,R,Shelbyville,Shelby,IN,46176,US,US/Eastern,KGEZ,09-02-2016 07:41,21.9,9.8,82,29.75,1.5,West,12.7,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-30,3,09-02-2016 07:48,09-02-2016 13:48,39.3638,-85.51659,39.45279,-85.628,8.554,Between US-421/Exit 132 and US-421/Exit 123 - Accident.,,I-74 W,R,Greensburg,Decatur,IN,47240,US,US/Eastern,KBAK,09-02-2016 06:50,19.4,8.6,100,29.78,2,West,9.2,,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-31,3,09-02-2016 07:48,09-02-2016 13:48,39.45132,-85.62516,39.36277,-85.51655,8.429,Between US-421/Exit 123 and US-421/Exit 132 - Accident.,,US-421 S,R,Saint Paul,Decatur,IN,47272,US,US/Eastern,KGEZ,09-02-2016 07:48,21.2,8.9,86,29.75,3,West,12.7,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-32,2,09-02-2016 08:00,09-02-2016 14:00,39.75067,-84.14148,39.74883,-84.13402,0.416,At Smithville Rd - Accident.,,US-35 E,R,Dayton,Montgomery,OH,45410,US,US/Eastern,KFFO,09-02-2016 07:58,22.5,12.4,90,29.73,1.2,SW,9.2,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-33,3,09-02-2016 08:02,09-02-2016 14:02,39.2675,-81.49929,39.26867,-81.49909,0.082,At US-50/Exit 176 - Accident.,,US-50 E,R,Parkersburg,Wood,WV,26104,US,US/Eastern,KPKB,09-02-2016 07:53,24.1,13.7,88,29.72,1,WSW,10.4,0.02,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-35,2,09-02-2016 09:07,09-02-2016 15:07,41.95677,-83.67214,41.95939,-83.67235,0.181,At M-50/Exit 17 - Accident.,,US-23 N,R,Dundee,Monroe,MI,48131,US,US/Eastern,KTTF,09-02-2016 09:14,30.2,22.6,93,29.58,1.2,West,8.1,,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-36,3,09-02-2016 10:07,09-02-2016 16:07,38.27401,-85.74844,38.28558,-85.75518,0.879,Between US-31/IN-62 and Stansifer Ave/Exit 1 - Accident.,,I-65 S,R,Jeffersonville,Clark,IN,47130,US,US/Eastern,KLOU,09-02-2016 09:53,23,11.1,74,29.87,10,West,12.7,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-37,2,09-02-2016 11:09,09-02-2016 17:09,41.95677,-83.67214,41.95939,-83.67235,0.181,At M-50/Exit 17 - Accident.,,US-23 N,R,Dundee,Monroe,MI,48131,US,US/Eastern,KTTF,09-02-2016 11:15,31.8,22.3,84,29.6,2.5,WNW,12.7,,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-38,2,09-02-2016 11:28,09-02-2016 17:28,40.52225,-80.06666,40.5283,-80.07188,0.5,At Camp Horne Rd/Exit 15 - Accident.,,I-279 N,R,Pittsburgh,Allegheny,PA,15237,US,US/Eastern,KPIT,09-02-2016 11:12,30,20,88,29.56,1.5,West,12.7,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-39,2,09-02-2016 12:31,09-02-2016 18:31,40.487814,-80.009439,40.48614,-80.009008,0.118,At Venture St/Exit 10 - Accident.,,US-19 Trk S,R,Pittsburgh,Allegheny,PA,15214,US,US/Eastern,KAGC,09-02-2016 12:53,28.9,18.2,82,29.61,1,SW,13.8,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-41,2,09-02-2016 17:12,09-02-2016 23:12,41.47461,-81.71182,41.47023,-81.74188,1.585,Between 41st St/Exit 169 and OH-10/Lorain Ave/Exit 167 - Accident.,,Northwest Fwy W,R,Cleveland,Cuyahoga,OH,44113,US,US/Eastern,KBKL,09-02-2016 17:13,30.9,18.7,92,29.62,1,West,19.6,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-42,2,09-02-2016 17:13,09-02-2016 23:13,41.0618,-81.54608,41.06193,-81.54149,0.239,At OH-59/Exit 21 - Accident.,,I-76 E,R,Akron,Summit,OH,44307,US,US/Eastern,KAKR,09-02-2016 17:13,28.9,20.4,82,29.62,2.5,SW,9.2,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-43,4,09-02-2016 18:20,10-02-2016 00:20,40.45112,-85.15048,40.35429,-85.14993,6.69,Closed between IN-26 and IN-67 - Road closed due to accident.,9001, W State Road 26,R,Dunkirk,Jay,IN,47336,US,US/Eastern,KMIE,09-02-2016 18:20,19.9,7.3,81,29.85,2,WNW,12.7,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
A-46,4,09-02-2016 22:37,10-02-2016 04:37,39.74408,-85.13749,39.75855,-85.13715,1,Closed between Bentonville Rd and Lindsey Rd - Road closed due to accident.,6114, S State Road 1,L,Milton,Wayne,IN,47357,US,US/Eastern,KAID,09-02-2016 15:45,23,11.7,80,29.79,3,WNW,11.5,,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-47,4,10-02-2016 06:17,10-02-2016 12:17,39.965148,-83.020499,39.976605,-83.021071,0.792,Closed between US-33/Dublin Rd and Goodale St - Road closed due to accident.,,W Innerbelt N,R,Columbus,Franklin,OH,43215,US,US/Eastern,KCMH,10-02-2016 06:19,15.8,2.7,73,29.87,4,WSW,11.5,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Day
A-49,2,10-02-2016 06:29,10-02-2016 12:29,39.85223,-85.25847,39.85227,-85.26282,0.231,At Wilbur Wright Rd/Exit 131 - Accident.,,I-70 W,R,Straughn,Henry,IN,47387,US,US/Eastern,KAID,10-02-2016 08:46,12.2,-1.8,85,29.97,2,West,11.5,,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Day
A-50,2,10-02-2016 08:19,10-02-2016 14:19,41.46747,-81.75909,41.47442,-81.71182,2.494,Between West Blvd/98th St/Exit 167 and 41st St/Exit 169 - Accident.,,I-90 E,R,Cleveland,Cuyahoga,OH,44111,US,US/Eastern,KCLE,10-02-2016 07:51,19.9,5.7,78,29.83,8,WSW,16.1,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-51,2,10-02-2016 08:35,10-02-2016 14:35,41.83193,-80.10143,41.84149,-80.11099,0.824,Between Irish Rd and Blystone Rd - Accident.,25529, Highway 99,L,Cambridge Springs,Crawford,PA,16403,US,US/Eastern,KGKJ,10-02-2016 08:34,21,9.9,85,29.69,1,WSW,10.4,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-52,2,10-02-2016 08:44,10-02-2016 14:44,39.744287,-84.204939,39.75052,-84.20541,0.431,At US-35/Albany St/Exit 52 - Accident.,,I-75 N,R,Dayton,Montgomery,OH,45417,US,US/Eastern,KDAY,10-02-2016 08:47,14,-2.5,84,29.92,3,West,17.3,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-53,3,10-02-2016 08:39,10-02-2016 14:39,39.71548,-84.22033,39.71767,-84.21632,0.261,At Dryden Rd/Exit 50 - Accident.,,I-75 N,R,Dayton,Montgomery,OH,45439,US,US/Eastern,KMGY,10-02-2016 08:33,14,1.2,80,29.93,1.5,WSW,10.4,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-54,2,10-02-2016 08:39,10-02-2016 14:39,39.7504,-84.20561,39.73167,-84.2058,1.294,Between US-35/Albany St/Exit 52 and Edwin C Moses Blvd/Exit 51 - Accident.,,I-75 N,R,Dayton,Montgomery,OH,45402,US,US/Eastern,KFFO,10-02-2016 08:58,15.3,2.8,81,29.98,2,WSW,10.4,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-55,2,10-02-2016 08:48,10-02-2016 14:48,41.72316,-84.96444,41.715052,-84.951306,0.879,Between James Whitcomb Riley Service Area and Eastpoint Barrier Toll Plaza - Accident.,,I-90 E,R,Fremont,Steuben,IN,46737,US,US/Eastern,KANQ,10-02-2016 08:55,17.6,10.7,93,29.83,2,West,4.6,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-56,2,10-02-2016 09:06,10-02-2016 15:06,40.04376,-82.99708,40.06376,-82.99679,1.382,Between Cooke Rd/Exit 115 and Morse Rd/Exit 116 - Accident.,,North Fwy N,R,Columbus,Franklin,OH,43224,US,US/Eastern,KCMH,10-02-2016 09:07,15.8,3.4,79,29.9,1,WSW,10.4,0.01,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-57,2,10-02-2016 09:06,10-02-2016 15:06,38.1781,-85.71946,38.18104,-85.72116,0.223,At KY-61/Grade Lane/Exit 130 - Accident.,,Dr Martin Luther King Jr Expy N,R,Louisville,Jefferson,KY,40213,US,US/Eastern,KSDF,10-02-2016 08:56,17.1,5.8,68,30.12,10,West,9.2,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-58,2,10-02-2016 09:08,10-02-2016 15:08,38.18577,-85.80678,38.20648,-85.82785,1.832,Between US-31/US-60/Exit 8 and South Cane Run Rd/Exit 5 - Accident.,,Henry Watterson Expy W,R,Louisville,Jefferson,KY,40216,US,US/Eastern,KSDF,10-02-2016 08:56,17.1,5.8,68,30.12,10,West,9.2,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-59,3,10-02-2016 09:08,10-02-2016 15:08,38.27191,-85.80838,38.27191,-85.80838,0,At Bank St/Exit 1 - Accident.,,Henry Watterson Expy W,R,Louisville,Jefferson,KY,40212,US,US/Eastern,KSDF,10-02-2016 08:56,17.1,5.8,68,30.12,10,West,9.2,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-60,2,10-02-2016 09:18,10-02-2016 15:18,39.923905,-82.87008,39.93844,-82.84829,1.53,At I-70/US-40/Main St/Exit 43 - Accident.,,Outerbelt N,R,Columbus,Franklin,OH,43232,US,US/Eastern,KCMH,10-02-2016 09:07,15.8,3.4,79,29.9,1,WSW,10.4,0.01,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-61,2,10-02-2016 09:34,10-02-2016 15:34,41.035566,-81.569917,41.036015,-81.579895,0.521,At OH-619/Wooster Rd/Exit 17 - Accident.,,I-76 W,R,Akron,Summit,OH,44314,US,US/Eastern,KAKR,10-02-2016 09:46,21,6.6,74,29.79,1.5,WSW,17.3,0,Light Snow,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-62,3,10-02-2016 10:18,10-02-2016 16:18,39.9239,-83.68767,39.93271,-83.61197,4.057,Between US-40/Exit 62 and OH-54/Exit 66 - Accident.,,E National Rd,R,South Charleston,Clark,OH,45368,US,US/Eastern,KSGH,10-02-2016 10:15,15.8,0.3,79,29.94,2,WSW,16.1,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
